datetimeFC,forecast,p_battery,p_net_demand,soc_battery,pb_nom,pb_discharge_max,pb_charge_max,delta_t,soc_min,soc_max,efficiency,soc_ini,p_net_threshold,mpc_window
2021-07-24 07:30:00+00:00,1.3344272461,0.8176640772,2.1520913233,0.2560978292,15,4,6,0.25,0.1,0.9,1,0.2560978292,5,96
2021-07-24 07:45:00+00:00,1.3902945557,0.7596150965,2.1499096522,0.2560978292,15,4,6,0.25,0.1,0.9,1,0.2560978292,5,96
2021-07-24 08:00:00+00:00,1.3617325439,0.7771786517,2.1389111956,0.2687580808,15,4,6,0.25,0.1,0.9,1,0.2687580808,5,96
2021-07-24 08:15:00+00:00,1.3617325439,0.7656936838,2.1274262277,0.2817110583,15,4,6,0.25,0.1,0.9,1,0.2817110583,5,96
2021-07-24 08:30:00+00:00,0.7694874268,1.3465444961,2.1160319229,0.2944726197,15,4,6,0.25,0.1,0.9,1,0.2944726197,5,96
2021-07-24 08:45:00+00:00,0.7694874268,1.349149114,2.1186365408,0.2944726197,15,4,6,0.25,0.1,0.9,1,0.2944726197,5,96
2021-07-24 09:00:00+00:00,1.1541131592,0.9522275898,2.106340749,0.31695843830000003,15,4,6,0.25,0.1,0.9,1,0.31695843830000003,5,96
2021-07-24 09:15:00+00:00,1.1943063965,0.8996327998,2.0939391963,0.3328288981,15,4,6,0.25,0.1,0.9,1,0.3328288981,5,96
2021-07-24 09:30:00+00:00,1.2501740723,0.8316940588,2.0818681311,0.3478227781,15,4,6,0.25,0.1,0.9,1,0.3478227781,5,96
2021-07-24 09:45:00+00:00,1.2501740723,0.8197256850000001,2.0698997573,0.36168434580000003,15,4,6,0.25,0.1,0.9,1,0.36168434580000003,5,96
2021-07-24 10:00:00+00:00,1.2501740723,0.8074073696,2.0575814419,0.3753464405,15,4,6,0.25,0.1,0.9,1,0.3753464405,5,96
2021-07-24 10:15:00+00:00,1.2501740723,0.7951651556,2.0453392279,0.38880323,15,4,6,0.25,0.1,0.9,1,0.38880323,5,96
2021-07-24 10:30:00+00:00,0.7899519653,1.2434686019,2.0334205672,0.40205598260000003,15,4,6,0.25,0.1,0.9,1,0.40205598260000003,5,96
2021-07-24 10:45:00+00:00,0.7899519653,1.2345451666,2.0244971319,0.4227804593,15,4,6,0.25,0.1,0.9,1,0.4227804593,5,96
2021-07-24 11:00:00+00:00,0.7622780151,1.2532244988,2.0155025139,0.44335621210000004,15,4,6,0.25,0.1,0.9,1,0.44335621210000004,5,96
2021-07-24 11:15:00+00:00,1.2284006348,0.7777107677,2.0061114025,0.464243287,15,4,6,0.25,0.1,0.9,1,0.464243287,5,96
2021-07-24 11:30:00+00:00,1.3013983154,0.6953544952,1.9967528105999999,0.4772051332,15,4,6,0.25,0.1,0.9,1,0.4772051332,5,96
2021-07-24 11:45:00+00:00,1.3572657471,0.6308134590000001,1.9880792061,0.48879437480000004,15,4,6,0.25,0.1,0.9,1,0.48879437480000004,5,96
2021-07-24 12:00:00+00:00,1.3683292236,0.6183458219,1.9866750455000002,0.48879437480000004,15,4,6,0.25,0.1,0.9,1,0.48879437480000004,5,96
2021-07-24 12:15:00+00:00,1.4331170654,0.545505107,1.9786221724000002,0.4991001385,15,4,6,0.25,0.1,0.9,1,0.4991001385,5,96
2021-07-24 12:30:00+00:00,1.082977417,0.8930004453,1.9759778623000002,0.4991001385,15,4,6,0.25,0.1,0.9,1,0.4991001385,5,96
2021-07-24 12:45:00+00:00,1.2889405518000001,0.6789578573,1.9678984091,0.5139834792,15,4,6,0.25,0.1,0.9,1,0.5139834792,5,96
2021-07-24 13:00:00+00:00,1.3633236084,0.5965437130000001,1.9598673214,0.5252994435,15,4,6,0.25,0.1,0.9,1,0.5252994435,5,96
2021-07-24 13:15:00+00:00,1.5799991455,0.3729860507,1.9529851962,0.5352418387,15,4,6,0.25,0.1,0.9,1,0.5352418387,5,96
2021-07-24 13:30:00+00:00,1.8833858643,0.0625689972,1.9459548615000002,0.5414582729,15,4,6,0.25,0.1,0.9,1,0.5414582729,5,96
2021-07-24 13:45:00+00:00,2.0749973145,-0.13531835620000002,1.9396789583,0.5414582729,15,4,6,0.25,0.1,0.9,1,0.5414582729,5,96
2021-07-24 14:00:00+00:00,2.0029338379,-0.0697277723,1.9332060656,0.539202967,15,4,6,0.25,0.1,0.9,1,0.539202967,5,96
2021-07-24 14:15:00+00:00,2.1073891602,-0.18058785160000002,1.9268013086,0.5380408374,15,4,6,0.25,0.1,0.9,1,0.5380408374,5,96
2021-07-24 14:30:00+00:00,1.451989502,0.4665227183,1.9185122203,0.5380408374,15,4,6,0.25,0.1,0.9,1,0.5380408374,5,96
